City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,lakhipur,26.0299,90.3041,299.6,85,100,2.47,IN,1727502610
121,parauapebas,-6.0675,-49.9022,298.9,66,63,0.9,BR,1727502611
122,carnarvon,-24.8667,113.6333,293.48,44,3,9.75,AU,1727502612
123,fortuna,40.5982,-124.1573,285.57,97,100,0.0,US,1727502613
124,sisimiut,66.9395,-53.6735,277.43,97,100,2.01,GL,1727502614
125,punta arenas,-53.15,-70.9167,274.21,80,75,8.75,CL,1727502508
126,san julian,21.0167,-102.1667,286.9,95,100,2.39,MX,1727502616
127,fort st. john,56.2499,-120.8529,281.09,57,40,7.72,CA,1727502617
128,lipayran,11.0593,123.6342,301.74,74,53,2.29,PH,1727502618
129,pisco,-13.7,-76.2167,289.18,88,75,2.57,PE,1727502420
130,guarapuava,-25.3953,-51.4581,282.88,85,0,1.65,BR,1727502565
131,xunchang,28.4543,104.715,303.8,58,90,1.8,CN,1727502621
132,lebu,-37.6167,-73.65,283.2,89,100,3.34,CL,1727502623
133,wainwright,52.839,-110.8572,283.46,50,25,2.87,CA,1727502625
134,saint-joseph,-21.3667,55.6167,298.36,66,2,2.56,RE,1727502626
135,ushuaia,-54.8,-68.3,271.96,93,100,6.69,AR,1727502627
136,longyearbyen,78.2186,15.6401,272.06,64,75,2.57,SJ,1727502628
137,olonkinbyen,70.9221,-8.7187,271.04,85,100,9.89,SJ,1727502630
138,east london,-33.0153,27.9116,290.67,77,0,2.06,ZA,1727502631
139,kapuskasing,49.4169,-82.4331,288.15,94,0,1.54,CA,1727502633
140,karlovo,42.6333,24.8,294.48,50,3,1.38,BG,1727502634
141,jurilovca,44.7667,28.8667,294.43,77,0,5.79,RO,1727502635
142,wailua homesteads,22.0669,-159.378,298.59,86,40,5.66,US,1727502636
143,alaghsas,17.0187,8.0168,302.09,39,0,2.06,NE,1727502637
144,st. john's,47.5649,-52.7093,284.7,87,100,2.57,CA,1727502606
145,novoishimskiy,53.1981,66.7694,289.54,40,17,4.17,KZ,1727502639
146,fairhope,30.523,-87.9033,297.57,77,0,1.54,US,1727502640
147,cestos city,5.46,-9.5828,297.46,91,100,2.08,LR,1727502641
148,mount pearl,47.5166,-52.7813,284.24,92,100,2.57,CA,1727502642
149,hithadhoo,-0.6,73.0833,301.67,75,71,4.99,MV,1727502643
150,santo antonio do ica,-3.1022,-67.9397,296.8,87,100,0.98,BR,1727502644
151,matoury,4.8483,-52.3317,298.13,94,40,0.0,GF,1727502646
152,dudinka,69.4058,86.1778,276.96,99,100,7.46,RU,1727502647
153,bredasdorp,-34.5322,20.0403,286.44,81,63,3.78,ZA,1727502648
154,mhangura,-16.8939,30.1683,299.98,23,5,3.5,ZW,1727502649
155,padang,-0.9492,100.3543,298.18,82,79,1.59,ID,1727502650
156,port-gentil,-0.7193,8.7815,298.24,86,93,5.35,GA,1727502651
157,mkushi,-13.6202,29.3939,300.03,27,15,4.31,ZM,1727502652
158,queenstown,-31.8976,26.8753,295.13,30,100,6.64,ZA,1727502653
159,port pirie,-33.1833,138.0167,295.1,34,100,8.69,AU,1727502654
160,vila do maio,15.1333,-23.2167,300.41,81,83,4.59,CV,1727502655
161,pitalito,1.8497,-76.0479,290.92,93,100,1.27,CO,1727502656
162,labrador city,52.9463,-66.9114,279.92,86,0,4.92,CA,1727502658
163,kailua-kona,19.6406,-155.9956,299.42,89,72,1.87,US,1727502659
164,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,71,20,5.0,RU,1727502660
